scorer,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000,DLC_resnet50_DogTrain1Dec4shuffle1_150000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
90,715.916015625,662.029541015625,0.9999986886978149,666.1873168945312,647.284912109375,0.9999994039535522,713.2393188476562,627.7068481445312,0.9999997019767761,780.762939453125,649.959228515625,0.9999959468841553
91,715.871826171875,662.0874633789062,0.9999986886978149,666.17431640625,647.3020629882812,0.9999994039535522,713.248291015625,627.7061157226562,0.9999996423721313,780.7718505859375,649.910400390625,0.9999961853027344
92,715.9107666015625,662.0999145507812,0.9999986886978149,666.2567749023438,647.34814453125,0.9999993443489075,713.30615234375,627.8079223632812,0.9999997615814209,780.450927734375,650.0115356445312,0.9999964237213135
93,715.8839111328125,662.0467529296875,0.9999986886978149,666.2584838867188,647.2724609375,0.9999994039535522,713.353271484375,627.7510986328125,0.9999997019767761,780.5070190429688,649.992431640625,0.9999962449073792
94,715.8863525390625,662.0809936523438,0.9999986886978149,666.2203369140625,647.37353515625,0.9999995231628418,713.38623046875,627.7220458984375,0.9999997019767761,780.4819946289062,649.9819946289062,0.9999961853027344
95,715.909423828125,662.1010131835938,0.9999986886978149,666.2305908203125,647.3817749023438,0.9999994039535522,713.3674926757812,627.7913818359375,0.9999997615814209,780.5376586914062,649.9624633789062,0.9999961256980896
96,715.8284912109375,662.1018676757812,0.9999986886978149,666.2420043945312,647.3585815429688,0.9999994039535522,713.3528442382812,627.7662353515625,0.9999997019767761,780.5471801757812,649.9725341796875,0.9999963045120239
97,715.8790893554688,662.1065673828125,0.9999986886978149,666.1669921875,647.35546875,0.9999994039535522,713.4008178710938,627.7597045898438,0.9999997019767761,780.5706787109375,650.0089111328125,0.9999960660934448
98,715.7952880859375,662.1068115234375,0.9999986886978149,666.2232666015625,647.340087890625,0.9999994039535522,713.3728637695312,627.7479248046875,0.9999997615814209,780.5574340820312,649.9937744140625,0.9999961853027344
99,715.8109130859375,662.0842895507812,0.9999988079071045,666.2132568359375,647.346435546875,0.9999994039535522,713.3837890625,627.74267578125,0.9999997019767761,780.5379638671875,650.0117797851562,0.9999961256980896
100,715.8892211914062,662.0618286132812,0.9999988079071045,666.2039794921875,647.3379516601562,0.9999994039535522,713.3388671875,627.7455444335938,0.9999997019767761,780.5987548828125,650.0120849609375,0.9999963045120239
101,715.9544067382812,662.01904296875,0.9999986886978149,666.2523193359375,647.3492431640625,0.9999994039535522,713.2979125976562,627.7747802734375,0.9999997019767761,781.1729736328125,649.9666748046875,0.9999959468841553
102,715.9761962890625,662.009521484375,0.9999988079071045,666.2020874023438,647.3587646484375,0.9999994039535522,713.2984619140625,627.7925415039062,0.9999997019767761,781.158935546875,649.957763671875,0.9999960660934448
103,715.9720458984375,662.0240478515625,0.9999988079071045,666.2310791015625,647.359619140625,0.9999994039535522,713.2997436523438,627.7823486328125,0.9999997615814209,781.1436767578125,649.94873046875,0.9999961256980896
104,715.9781494140625,662.0492553710938,0.9999986886978149,666.2991333007812,647.412841796875,0.9999994039535522,713.2603759765625,627.8133544921875,0.9999997615814209,781.17236328125,649.962890625,0.9999963045120239
105,715.9500122070312,661.9738159179688,0.9999986290931702,666.4156494140625,647.3773803710938,0.9999992847442627,713.119873046875,627.7835693359375,0.9999997019767761,781.2326049804688,649.9360961914062,0.9999961853027344
106,715.9918823242188,661.9466552734375,0.9999986886978149,666.382568359375,647.3626098632812,0.9999992847442627,713.1087036132812,627.77685546875,0.9999997019767761,781.2347412109375,649.9411010742188,0.9999961853027344
107,715.9634399414062,661.97314453125,0.9999986886978149,666.3421020507812,647.3711547851562,0.9999992847442627,713.1726684570312,627.7440185546875,0.9999997019767761,781.173828125,649.9263916015625,0.9999961853027344
108,715.93017578125,661.942138671875,0.9999988079071045,666.3057250976562,647.3977661132812,0.9999994039535522,713.1561889648438,627.7123413085938,0.9999997615814209,781.1793823242188,649.8805541992188,0.9999962449073792
109,715.86474609375,661.9183959960938,0.9999988079071045,666.3038940429688,647.3810424804688,0.999999463558197,713.1670532226562,627.6978149414062,0.9999997615814209,781.161376953125,649.8975219726562,0.9999964237213135
110,715.864990234375,661.9180297851562,0.9999986886978149,666.3071899414062,647.3861083984375,0.999999463558197,713.1469116210938,627.69140625,0.9999997019767761,781.1862182617188,649.9010009765625,0.9999964833259583
111,715.8670654296875,661.9136352539062,0.9999986886978149,666.30224609375,647.3824462890625,0.999999463558197,713.152099609375,627.6898803710938,0.9999997615814209,781.1507568359375,649.88134765625,0.9999964237213135
112,715.8753662109375,661.9013061523438,0.9999987483024597,666.3084106445312,647.3637084960938,0.999999463558197,713.1477661132812,627.6793823242188,0.9999997615814209,781.1613159179688,649.8845825195312,0.9999964833259583
113,715.873291015625,661.9541625976562,0.9999988675117493,666.2283325195312,647.34716796875,0.9999994039535522,713.1834106445312,627.6639404296875,0.9999997019767761,781.1250610351562,649.8857421875,0.9999964833259583
114,715.8840942382812,661.9469604492188,0.9999987483024597,666.2183837890625,647.3433227539062,0.9999995231628418,713.14990234375,627.6785278320312,0.9999997019767761,781.12109375,649.8770751953125,0.9999964237213135
115,715.8436889648438,661.956298828125,0.9999987483024597,666.143310546875,647.314208984375,0.9999995231628418,713.1514282226562,627.7017822265625,0.9999997019767761,781.1095581054688,649.8770751953125,0.9999964237213135
116,715.727783203125,662.0997314453125,0.9999988079071045,666.0040283203125,647.2561645507812,0.9999996423721313,713.159912109375,627.7197875976562,0.9999997019767761,781.0861206054688,649.8670043945312,0.9999963641166687
117,715.5641479492188,662.2279052734375,0.9999987483024597,665.7154541015625,647.292236328125,0.9999997615814209,713.1450805664062,627.7523803710938,0.9999997019767761,781.0821533203125,649.8820190429688,0.9999962449073792
118,715.1176147460938,662.538818359375,0.9999985694885254,664.9124145507812,647.2134399414062,0.9999999403953552,713.341064453125,627.8434448242188,0.9999995827674866,781.0604248046875,649.8671264648438,0.9999961853027344
119,714.1277465820312,663.1775512695312,0.9999972581863403,660.297119140625,647.1685791015625,0.9999998807907104,714.0323486328125,628.187744140625,0.999999463558197,781.1043090820312,649.8182373046875,0.9999963045120239
120,714.10986328125,663.1849365234375,0.9999973773956299,659.9949340820312,647.2359008789062,0.9999998211860657,714.0300903320312,628.2158203125,0.9999995231628418,781.0731811523438,649.8434448242188,0.9999961853027344
121,714.160888671875,663.1913452148438,0.9999971389770508,659.915283203125,647.1926879882812,0.9999998807907104,713.9722900390625,628.2018432617188,0.999999463558197,781.0771484375,649.868896484375,0.9999960064888
